Karnataka RERA No.,Property Type,BHK Options,Starting Price (Rs Lakh),Possession,Sale Status,Source URL,Entered By,Entered On,Notes
PRM/KA/RERA/1251/446/PR/070826/008862,Apartment,4 BHK,3.80 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Mizu and Ki' (Hennur); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/040526/008618,Apartment,3 BHK,2.11 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Muse And Maison' (Hosa Road); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/200524/006910,Apartment,"3 BHK, 4 BHK",2.58 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Soho And Sky' (Jakkuru); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/250322/004785,Apartment,"3 BHK, 4 BHK",2.58 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Soho And Sky' (Jakkuru); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/210524/006929,Apartment,"3 BHK, 4 BHK, Studio",26.52 L,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Sora And Saki' (Bagaluru); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/080525/007728,Apartment,"3 BHK, 4 BHK",2.97 Cr,Under construction,Available,https://www.squareyards.com/projects-by-assetz-homes-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Assetz Zen And Sato' (Yelahanka); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/060925/008065,Apartment,"1, 2, 3, 4 BHK",63.17 L,Under construction,Available,https://www.squareyards.com/projects-by-mana-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Bhartiya Garden Estate' (Navarathna Agrahara); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/060925/008064,Apartment,"1, 2, 3, 4 BHK",63.17 L,Under construction,Available,https://www.squareyards.com/projects-by-mana-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Bhartiya Garden Estate' (Navarathna Agrahara); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/260825/008038,Apartment,"1, 2, 3, 4 BHK",63.17 L,Under construction,Available,https://www.squareyards.com/projects-by-mana-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Bhartiya Garden Estate' (Navarathna Agrahara); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/160124/006550,Apartment,"1, 2, 3, 4 BHK",55.23 L,Under construction,Available,https://www.squareyards.com/projects-by-mana-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Bhartiya City Nikoo Homes 6' (Kogilu); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/160124/006543,Apartment,"1, 2, 3, 4 BHK",55.23 L,Under construction,Available,https://www.squareyards.com/projects-by-mana-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Bhartiya City Nikoo Homes 6' (Kogilu); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/060225/007487,Apartment,"1, 2, 3, 4 BHK",90.86 L,Under construction,Available,https://www.squareyards.com/projects-by-birla-estates-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Birla Evara' (Sarjapur); indicative, verify with builder"
PRM/KA/RERA/1250/304/PR/190724/002725,Apartment,"3, 4 BHK",2.06 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-birla-estates-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Birla Alokya' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/040924/006989,Apartment,"1, 2, 3, 4 BHK",1.21 Cr,Under construction,Available,https://www.squareyards.com/projects-by-birla-estates-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Birla Ojasvi' (Raja Rajeshwari Nagar); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/140322/004754,Apartment,"2, 3 BHK",1.59 Cr,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Komarla Heights' (Padmanabha Nagar); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/140622/004982,Apartment,"3, 4 BHK",2.21 Cr,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Nanda Heights' (Padmanabha Nagar); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/300625/007888,Apartment,"3, 4 BHK",4.62 Cr,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Avalon' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/240326/008549,Apartment,"1, 2, 3 BHK",96.00 L,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Belvedere' (Budigere Cross); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/220823/006195,Apartment,"1, 2, 3 BHK",61.46 L,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Calista' (Budigere Cross); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/030223/005683,Apartment,"1, 2, 3 BHK",61.46 L,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Calista' (Budigere Cross); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/070325/007559,Apartment,"3, 4 BHK",2.43 Cr,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Eternia' (Yelahanka); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/190722/005086,Apartment,"1, 2, 3, 4 BHK",55.97 L,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Horizon' (Kambipura); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/180524/006894,Apartment,"3, 4, 5 BHK",3.59 Cr,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Insignia' (Yelahanka); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/220124/006562,Plots,,1.02 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Oasis' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/220223/005745,Plots,,1.02 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Oasis' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/041122/005401,Plots,,1.02 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Oasis' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/041123/006372,Apartment,"1, 3, 4 BHK",84.95 L,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Sanctuary' (Sarjapur Road); indicative, verify with builder"
PRM/KA/RERA/1251/308/PR/040924/006986,Apartment,"1, 2, 3, 4 BHK",67.98 L,Under construction,Available,https://www.squareyards.com/projects-by-brigade-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Brigade Valencia' (Electronic City); indicative, verify with builder"
PRM/KA/RERA/1250/301/PR/200323/003366,Plots,,84.00 L,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Eden' (Doddaballapur Road); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/210302/003971,Plots,,1.13 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Seasons' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/160526/008662,Apartment,"3, 4 BHK",4.25 Cr,Under construction,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Astoria' (Jakkuru); indicative, verify with builder"
PRM/KA/RERA/1250/301/PR/210426/008595,Apartment,"2, 3, 4 BHK",92.63 L,Under construction,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Bliss' (Bisuvanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/301/PR/150724/006939,Plots,,84.00 L,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Eden' (Doddaballapur Road); indicative, verify with builder"
PRM/KA/RERA/1250/301/PR/300523/005956,Plots,,84.00 L,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Eden' (Doddaballapur Road); indicative, verify with builder"
PRM/KA/RERA/1250/301/PR/060623/005973,Plots,,84.00 L,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Eden' (Doddaballapur Road); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/180905/001983,Plots,,93.60 L,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Greens' (Doddaballapura); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/200326/008542,Apartment,"2, 3, 4 BHK",1.18 Cr,Under construction,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Kindle' (Yelahanka); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/130924/007015,Apartment,"3, 4 BHK",1.59 Cr,Under construction,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Liva' (Yelahanka); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/181025/008182,Apartment,"2, 3, 4 BHK",2.20 Cr,Under construction,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Mirai' (Munnekollal); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/100423/005853,Apartment,"2, 3 BHK",1.19 Cr,Under construction,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Novus' (Jakkuru); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/180826/008876,Plots,,2.07 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century OneWorld Seraya' (Meenakunte); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/250925/008121,Plots,,2.07 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century OneWorld Seraya' (Meenakunte); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/050725/007894,Plots,,2.07 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century OneWorld Seraya' (Meenakunte); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/150325/007586,Apartment,"3, 4 BHK",6.65 Cr,Under construction,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Regalia' (Indiranagar); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/170524/006883,Apartment,"3, 4 BHK",6.65 Cr,Under construction,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Regalia' (Indiranagar); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/010722/005031,Plots,,1.13 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Seasons' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/170918/000844,Plots,,53.00 L,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Sports Village' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/210625/007862,Plots,,88.00 L,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Trails' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/281223/006510,Plots,,88.00 L,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Trails' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/250723/006095,Apartment,"3, 4 BHK",3.85 Cr,Under construction,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Wintersun' (Doddaballapur Road); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/140923/006265,Apartment,4 BHK,6.00 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-century-real-estate-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Century Xenon' (Amrutahalli); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/220626/008740,Apartment,"2 BHK, 3 BHK",1.26 Cr,Under construction,Available,https://www.squareyards.com/projects-by-concorde-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Concorde Sienna' (Kannur); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/181223/006491,Apartment,"2 BHK, 3 BHK",90.90 L,Under construction,Available,https://www.squareyards.com/projects-by-concorde-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Concorde Antares' (Vidyaranyapura); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/210325/007608,Apartment,"3 BHK, 4 BHK",2.13 Cr,Under construction,Available,https://www.squareyards.com/projects-by-concorde-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Concorde Eleve' (Aavalahalli); indicative, verify with builder"
PRM/KA/RERA/1265/347/PR/151222/005525,Plots,,51.75 L,Ready to move,Available,https://www.squareyards.com/projects-by-concorde-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Concorde Equity' (Malur); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/030524/006839,Apartment,"2 BHK, 3 BHK",1.52 Cr,Under construction,Available,https://www.squareyards.com/projects-by-concorde-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Concorde Mayfair' (Yelahanka); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/270924/007088,Apartment,"2 BHK, 3 BHK",1.16 Cr,Under construction,Available,https://www.squareyards.com/projects-by-concorde-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Concorde Neo' (Thanisandra); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/160224/006627,Plots,,60.00 L,Ready to move,Available,https://www.squareyards.com/projects-by-concorde-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Concorde Opus 2' (Kanakapura Road); indicative, verify with builder"
PRM/KA/RERA/1251/310/PR/100423/005857,Plots,,60.00 L,Ready to move,Available,https://www.squareyards.com/projects-by-concorde-group-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Concorde Opus 2' (Kanakapura Road); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/200224/006649,Apartment,"1, 2, 3, 4 BHK",1.70 Cr,Under construction,Available,https://www.squareyards.com/projects-by-embassy-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Embassy East Avenue' (Whitefield); indicative, verify with builder"
PRM/KA/RERA/1251/472/PR/311225/008368,Apartment,5 BHK,25.00 Cr,Under construction,Available,https://www.squareyards.com/projects-by-embassy-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Embassy Eden' (Yelahanka); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/201125/008265,Apartment,"2, 3, 4 BHK",1.69 Cr,Under construction,Available,https://www.squareyards.com/projects-by-embassy-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Embassy Greenshore' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/220725/007946,Plots,,3.38 Cr,Under construction,Available,https://www.squareyards.com/projects-by-embassy-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Embassy Paradiso' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/309/PR/090926/008924,Apartment,"4, 5 BHK",1.20 Cr,Under construction,Available,https://www.squareyards.com/projects-by-embassy-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Embassy Riverine' (Tharahunise); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/201125/008263,Apartment,"1, 2, 3 BHK",68.97 L,Under construction,Available,https://www.squareyards.com/projects-by-embassy-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Embassy Verde' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/101224/007284,Apartment,"1, 2, 3 BHK",68.97 L,Under construction,Available,https://www.squareyards.com/projects-by-embassy-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Embassy Verde' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1250/303/PR/171016/000633,Plots,,2.57 Cr,Ready to move,Available,https://www.squareyards.com/projects-by-embassy-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Embassy Springs Plots' (Devanahalli); indicative, verify with builder"
PRM/KA/RERA/1251/446/PR/300924/007105,Apartment,"2 BHK, 3 BHK, 4 BHK",1.60 Cr,Under construction,Available,https://www.squareyards.com/projects-by-godrej-in-bangalore,"research pass (Claude, Sep 2026)",2026-09-26,"matched aggregator listing 'Godrej Lakeside Orchard' (Sarjapur Road); indicative, verify with builder"
